Rank,TeamCountry,Gold,Silver,Bronze,Total,Rank by Total
1,United States of America,40,44,42,126,1
2,People's Republic of China,40,27,24,91,2
3,Great Britain,14,22,29,65,3
4,France,16,26,22,64,4
5,Australia,18,19,16,53,5
6,Japan,20,12,13,45,6
7,Italy,12,13,15,40,7
8,Netherlands,15,7,12,34,8
9,Germany,12,13,8,33,9
10,Republic of Korea,13,9,10,32,10
11,Canada,9,7,11,27,11
12,New Zealand,10,7,3,20,12
13,Brazil,3,7,10,20,12
14,Hungary,6,7,6,19,14
15,Spain,5,4,9,18,15
16,Uzbekistan,8,2,3,13,16
17,Islamic Republic of Iran,3,6,3,12,17
18,Ukraine,3,5,4,12,17
19,Sweden,4,4,3,11,19
20,Kenya,4,2,5,11,19
21,Belgium,3,1,6,10,21
22,Poland,1,4,5,10,21
23,Denmark,2,2,5,9,23
24,Romania,3,4,2,9,23
25,Cuba,2,1,6,9,23
26,Greece,1,1,6,8,26
27,Türkiye,0,3,5,8,26
28,Norway,4,1,3,8,26
29,Switzerland,1,2,5,8,26
30,Ireland,4,0,3,7,30
31,Kazakhstan,1,3,3,7,30
32,Georgia,3,3,1,7,30
33,Israel,1,5,1,7,30
34,Croatia,2,2,3,7,30
35,Chinese Taipei,2,0,5,7,30
36,Bulgaria,3,1,3,7,30
37,Azerbaijan,2,2,3,7,30
38,Democratic People's Republic of Korea,0,2,4,6,38
39,Kyrgyzstan,0,2,4,6,38
40,South Africa,1,3,2,6,38
41,India,0,1,5,6,38
42,Thailand,1,3,2,6,38
43,Jamaica,1,3,2,6,38
44,Mexico,0,3,2,5,44
45,Serbia,3,1,1,5,44
46,AIN,1,3,1,5,44
47,Austria,2,0,3,5,44
48,Czechia,3,0,2,5,44
49,Ecuador,1,2,2,5,44
50,Armenia,0,3,1,4,50
51,Republic of Moldova,0,1,3,4,50
52,Portugal,1,2,1,4,50
53,Bahrain,2,1,1,4,50
54,Philippines,2,0,2,4,50
55,Ethiopia,1,3,0,4,50
56,Colombia,0,3,1,4,50
57,Lithuania,0,2,2,4,50
58,"Hong Kong, China",2,0,2,4,50
59,Argentina,1,1,1,3,59
60,Indonesia,2,0,1,3,59
61,Egypt,1,1,1,3,59
62,Slovenia,2,1,0,3,59
63,Dominican Republic,1,0,2,3,59
64,Tunisia,1,1,1,3,59
65,Algeria,2,0,1,3,59
66,Tajikistan,0,0,3,3,59
67,Chile,1,1,0,2,67
68,Saint Lucia,1,1,0,2,67
69,Botswana,1,1,0,2,67
70,Guatemala,1,0,1,2,67
71,Puerto Rico,0,0,2,2,67
72,Morocco,1,0,1,2,67
73,Kosovo,0,1,1,2,67
74,Grenada,0,0,2,2,67
75,Uganda,1,1,0,2,67
76,Malaysia,0,0,2,2,67
77,Albania,0,0,2,2,67
78,Cabo Verde,0,0,1,1,78
79,Qatar,0,0,1,1,78
80,Slovakia,0,0,1,1,78
81,Singapore,0,0,1,1,78
82,Cyprus,0,1,0,1,78
83,Côte d'Ivoire,0,0,1,1,78
84,Refugee Olympic Team,0,0,1,1,78
85,Dominica,1,0,0,1,78
86,Peru,0,0,1,1,78
87,Panama,0,1,0,1,78
88,Pakistan,1,0,0,1,78
89,Mongolia,0,1,0,1,78
90,Fiji,0,1,0,1,78
91,Jordan,0,1,0,1,78
92,Zambia,0,0,1,1,78
